x,y
15,-19
15,-18
15,-17
15,-16
15,-15
15,-14
15,-13
15,-12
15,-11
15,-10
15,-9
15,-8
15,-7
15,-6
15,-5
15,-4
15,-3
15,-2
15,-1
15,0
16,-37
16,-36
16,-35
16,-34
16,-33
16,-32
16,-31
16,-30
16,-29
16,-28
16,-27
16,-26
16,-25
16,-24
16,-23
16,-22
16,-21
16,-20
16,-19
16,-18
16,-17
16,-16
16,-15
16,-14
16,-13
16,-12
16,-11
16,-10
16,-9
16,-8
16,-7
16,-6
16,-5
16,-4
16,-3
16,-2
16,-1
17,-3
17,-2
17,-1
17,0
18,-3
18,-2
18,-1
19,-3
19,-2
19,-1
20,-3
20,-2
20,-1
21,-3
21,-2
21,-1
22,-3
22,-2
22,-1
23,-3
23,-2
23,-1
23,0
24,-3
24,-2
24,-1
25,-3
25,-2
25,-1
26,-3
26,-2
26,-1
26,0
27,-3
27,-2
27,-1
28,-3
28,-2
28,-1
29,-3
29,-2
29,-1
30,-3
30,-2
30,-1
31,-3
31,-2
31,-1
32,-3
32,-2
32,-1
33,-3
33,-2
33,-1
34,-3
34,-2
34,-1
35,-3
35,-2
35,-1
36,-3
36,-2
36,-1
36,0
37,-3
37,-2
37,-1
38,-3
38,-2
38,-1
39,-3
39,-2
39,-1
40,-3
40,-2
40,-1
41,-3
41,-2
41,-1
42,-3
42,-2
42,-1
43,-3
43,-2
43,-1
44,-3
44,-2
44,-1
45,-3
45,-2
45,-1
46,-2
